FileName, CommitSha
test-detectionrule4-overwrite.bicep,36c5f06b818eb7339f9c3c1f578561423a82d8a7
test-detectionrule.bicep,082612a84d97d106027fd8fbd578330cdcd04a03
test-detectionrule3-sentineldata.bicep,b3241a53a0e754153edbe5320bcb1dbe71f41197

